,place,info,문의 및 안내,홈페이지,주소,이용시간,이용요금,체험프로그램,review,휴일,주차,입장료,화장실,이용가능시설,주차요금,접근로,출입통로,보조견 동반,체험 프로그램,체험가능 연령,주차 요금,수용인원,할인 정보,시설이용료,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,예약안내,예약안내 홈페이지,객실유형,부대시설,사우나실 여부,규모,캠프파이어 여부,바비큐장여부,장애인 주차 안내,엘리베이터,점자 블록,수유실,"영유아가족
기타상세",휠체어,매표소,영업시간,대표메뉴,취급메뉴,세미나실 여부,스포츠 시설 여부,자전거 대여 여부,객실,공용 PC실 여부,지체장애 기타 상세,청각 장애 기타상세,시각장애 기타상세,안내 요원,주요시설,보유장비,대중 교통,지정현황,이용 시기,코스안내,점자 홍보물,유아용보조의자,판매 품목,좌석수,입점브랜드,휘트니스 센터 여부,노래방 여부,유모차,청각장애용 객실,관람석,대여안내,뷰티시설여부,유도안내 설비
20,섬진강어류생태관,"섬진강어류생태관은 섬진강의 민물고기 자원에 대한 체계적인 보전과 생태전시를 위한 섬진강 어류생태관이 2008년 3월에 개관하였다. 우리나라 5대 강 중 하나인 섬진강은 유일하게 1 급수를 유지하며, 깨끗한 자연환경과 강 본래의 모습을 간직하고 있다. 청소년들에게 아름답고 깨끗한 섬진강의 환경과 생태보전의 중요성, 생물자원의 보존 및 회복에 대한 연구·교육을 담당하고 있다.
섬진강어류생태관의 전시관은 제1전시장인 풍요로운 삶의 공간과 제2전시장 물과 생명의 공간, 제3전시장 땅과 환경의 공간으로 구성되어 있다. 제1전시관에서는 섬진강의 풍요롭고 조화로운 삶의 모습을 애니메이션 영상과 디오라마로 연출하여 자연의 소중함을 일깨워 준다. 제2전시관은 섬진강이 환경적, 생태적, 생물자원적으로 보존가치가 높은 강임을 설명하고, 섬진강의 각수계별 특징적인 생태환경을 수조관에 재현함으로써 자연유삽 보존의 이유를 깨닫게 하는 공간이다. 제3전시관은 섬진강의 환경이 파괴되면 어떤 일들이 일어나게 되는지를 소개하여 환경파괴에 대한 경각심을 전달하고, 섬진강의 환경을 지키기 위해 사람들은 어떠한 노력들을 하고 있는지에 대해 소개하고 있다.",,https://sjfish.jeonnam.go.kr/,전라남도 구례군 간전면 간전중앙로 47,"09:00~18:00 (입장마감 17:00)
※ 박물관 사정에 따라 입장, 관람 시간이 변경될 수 있음",,,아이들이 좋아할 곳이네요. 물고기들이 사람이 다가가면 먹이 주는 줄 알고 몰려오네요. 영유아 부모님들이라면 크고 넓고 비싼 아쿠아리움 가지 않아도 아이들 눈높이에서 충분히 어류를 관찰할 수 있는 곳인거 같아요 깨끗하고 친절하시고 좋습니다 추천추천!,"매주 월요일 / 1월 1일 / 설·추석 연휴
※ 단, 월요일이 공휴일인 경우 공휴일 다음 첫 번째 평일 휴관",가능,"[개인]
- 어른 (19~64세) 3,000원
- 청소년 (7~18세) 2,000원

[단체(20인 이상)]
- 어른 (19~64세) 2,500원
- 청소년 (7~18세) 1,500원

[무료] 6세 이하, 65세 이상, 장애인, 국가유공자, 독립유공자 등",자동문 휠체어가 충분히 들어갈 공간 있음,전시관 / 체험누리터 / 야외광장 / 수달보호실 / 공룡테마파크 / 거울수반과 그늘쉼터 / 생태하천 / 제방 산책로 / 피크닉정원 / 야외 양성수조 등,,주 출입구 경사로 완만함,,,"- 섬진강 탐험대 활동지 : 2,000원
- 인피니티 큐브 : 10,000원
- 물고기 액자 만들기 : 4,000원
- 나무쉐이커 만들기 : 2,000원
- 컵받침 만들 : 3,000원
- 스티로폼 비행기 : 4,000원
- 기타체험 : 물고기 만지기, 물고기 먹이주기, 토끼 먹이주기",,,,,,,,,,,,,,,,,,,장애인 주차 7면,생태관 내 1층에 있음,생태관 내,생태관 내 1층에 있음,화장실 내 기저귀 교환대 있음,휠체어 대여 가능,매표소 높이 낮음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,국동항수변공원,"아름다운 노을과 낚시로 유명한 국동항 수변공원은 여수시 봉산도, 여수수협 위판장과 대형마트 사이에 있는 수변공원이다. 돌산대교와 경도가 한눈에 조망되는 전망 명소이기도 하며, 해 질 녘 바다가 황홀한 풍경을 연출한다. 국동항 수변공원에서는 낚시 초보자들도 별 준비 없이 가볍게 낚시를 즐길 수 있어 관광객은 물론 시민들이 많이 찾는 도심형 낚시터이다. 일상에 지칠 때 바닷바람을 쐬면서 노을도 바라보고 낚시도 즐길 수 있는 도심 속 힐링 공간이다. 잔디광장, 야외공연장, 그늘 쉼터, 벤치, 화강암 돌의자 등 바다 조망권을 극대화한 휴식 공간이 조성되어 있어 가족과 함께하기 좋은 곳이다.",,https://www.yeosu.go.kr/tour,전라남도 여수시 봉산동 100-40,상시 개방,,,,연중무휴,가능,,,"잔디광장, 야외공연장, 그늘 쉼터, 벤치, 화강암 돌의자 등",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,여수구항,"여수는 한국 제2의 수산항으로 많은 섬이 천연 방파제를 이루고 있으며 수심이 깊고 항만이 넓어 훌륭한 자연조건을 갖춘 곳이다. 한려수도와 뱃길로 이어지며, 오동도를 비롯해 돌산도·금오도·남해도 등에 연결되는 관광 항구이기도 하다. 여수항은 자산공원을 중심으로, 북쪽 수정동 일대에는 북항이라고 하는 신항이 있고 남서쪽 교동과 중앙동 일대에는 남항이라고 하는 구항이 있다. 여수 구항에 있는 여객선 터미널은 9개 선사에서 17척의 여객선을 운항한다. 또한, 수산물의 집산 및 유통의 중심지라 다양한 수산물을 즐길 수 있다. 연안여객선 터미널 앞에는 여수수산시장과 여수수산물 특화시장이 있어 싱싱한 바다 먹거리를 맛볼 수 있다.",,https://www.yeosu.go.kr/tour,전라남도 여수시 중앙동 385-6,상시 개방,,,,연중무휴,가능,,가능,"주차장, 화장실",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,오천몽돌해변,"오천몽돌해변은 거금도에 있는 해변이며 고흥군 금산면 오천리에 있다. 고흥반도 끝에 있는 녹동항에서 소록도를 거쳐 거금대교를 통해 육지와 연결되어 있다. 이곳은 고흥 10경 중 제7경인 금산 해안 경관에 속한다. 오천몽돌해변은 해안 전체가 몽돌로 이루어진 것이 특징이다. 해안절벽이 형성되어 있고, 절벽 주변 해변에 큼직한 몽돌밭이 있는데 모래알 한 알 없이 온통 몽돌밭이다. 돌은 둥글둥글하나 크기는 주먹보다 커서 많은 이들이 이곳을 방문해 생각보다 큰 크기에 놀라곤 한다. 하지만 신기하다고 해서 몽돌을 가져가서는 안 된다. 불법이기 때문이다. 해변이긴 하지만 수영은 거센 파도 때문에 금지되어 있다. 대신 청각적으로 수영 못지않게 즐거운 경험을 할 수 있다. 멀리서부터 파도가 달려와 둥근 돌과 만날 때 나는 소리를 들을 수 있다. 돌들이 하얀 포말을 일으키며 파도를 만날 때 자그락자그락 내는 소리를 내는데 이는 도시에선 쉽사리 들을 수 없는 순도 100% 자연의 소리다.",,https://tour.goheung.go.kr,전라남도 고흥군 금산면 오천리,상시 개방,,,,,가능,,가능,"주차장, 화장실, 샤워실",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,밤재,"지리산 서쪽 줄기로 동쪽으로 숙성치, 서쪽으로 견두산이 이어져 전라남북도의 경계를 이루는 곳이다. 밤재는 밤나무가 많아 생긴 지명이라고 하며, 한자로 율치(栗峙)라고도 하였다. 경상남도 구례군 산동면 밤재길은 이순신 장군에 얽힌 이야기가 전하는 곳이다. 이순신 장군은 백의종군의 명을 받아 권율 도원수가 있는 순천으로 가기 위해 남원을 거쳐 이곳 구례 밤재를 지났다 하여 백의종군길이라 부른다. 또한, 밤재는 구례에서 남원으로 향하는 왜군의 주요 침입 경로이기도 하다. 1998년 밤재터널이 준공되면서 밤재 옛길은 지리산 둘레길 산동-주천 간 22코스의 경로가 되고 있다. 2012년 5월 25일 밤재에서 지리산 둘레길 전구간 개통식과 함께 지리산 둘레길 생명평화비 제막식이 열린 바 있다.",,https://www.gurye.go.kr/kr,전라남도 구례군 산동면 계천리 산12-1,상시 개방,,,,,불가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,황소식당,"여수 봉산게장거리에 있는 원조 황소식당은 여수의 명물 돌게로 만든 게장백반 정식과 갈치조림이 맛있기로 이름난 식당이다. 깔끔하게 지어진 건물 지하에 주차장이 있고, 1층과 2층 식당은 넓고 깨끗하다. 게장백반 정식도 맛있고, 갈치조림과 게장 정식을 함께 주문해도 되는데, 갈치조림은 간장게장과 양념게장이 같이 나온다. 전라도 식당답게 하나하나 맛있는 밑반찬이 푸짐하게 차려지고, 갈치조림과 게장까지 올라오면 보기만 해도 먹음직스러운 한 상이 차려진다. 손님이 많은 맛집이라 기다릴 수도 있지만, 음식을 맛보는 순간 기다림의 시간이 아깝지 않을 정도이다. 간장게장과 양념게장은 1회 리필이 가능하다.",,,전라남도 여수시 봉산남3길 2 (봉산동),,,,영업시간은 아침 9시부터 밤 8시까지고 저희는 여수게장이 같이 나오는 갈치조림 시켰어요 반찬으로 고사리볶음 갓김치 꼬막 무침 나오고 된장국 새우장도 맛있어요 돌게로 만든 간장게장인데 감칠맛도 있고 고소하고 맛있어요 갈치조림도 맛있어요 추천!,연중무휴,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:00~21:00(라스트오더 20:10),모둠꽃게장정식+돌게장정식,게장백반정식 / 갈치조림 / 갈치젓갈 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,꿈뜨락몰,"여수시 청년지원센터에서 운영하는 꿈뜨락몰은 여수 중앙시장 2층에 자리 잡고 있으며 2012년 7월 12일 개장하였다. 취업, 창업을 희망하는 청년들이 미래의 꿈을 이룰 수 있도록 여수시가 자신만의 창의적인 아이디어를 가지고 입점을 희망하는 예비 청년 상인을 수시로 모집하여 꿈뜨락몰 내에 창업할 수 있게 지원하고 있다. 다양한 매장을 보유하고 있는 복합문화공간인 꿈뜨락몰은 청춘콘서트, 꿈뜨락 페스티벌 등 다양한 즐길 거리와 먹거리, 체험 거리가 한 곳에 모여있는 곳으로, 청년 상인들이 꿈과 희망으로 미래를 만들어가는 행복한 공간이다.",,"홈페이지https://www.yeosu.go.kr/youthcenter
인스타그램https://www.instagram.com/ggumdderak_mall/",전라남도 여수시 중앙로 43 (교동) 2층,11:00~19:00,,,,매주 월요일,불가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,강현재,"전남 보성에 위치한 강현재는 6.25 전쟁 때 전소된 한옥을 복원한 한옥으로, 조용한 시골 마을의 정취를 느끼며 쉬어갈 수 있다. 툇마루 전면 유리창은 실내를 아늑하게 해 준다. 툇마루를 따라 네 개의 방이 있고, 사랑방에는 다기가 준비되어 있다. 주방에서 취사가 가능하고 커다란 식탁이 있어 편리하게 식사를 할 수 있다. 마당 한쪽에는 야외 바비큐 시설이 있다. 강현재 바로 옆에 서재필 생가가 있고, 주변에 화순 주암호와 대원사 등이 있다.",,https://www.instagram.com/ganghyunjea_hanok/,전라남도 보성군 가내길 31-1,,,,,,가능,,,,,,,,,,,8,,,14:00,11:00,가능,있음,3,"가능(SMS : 010-9304-5904, Instagram DM : https://www.instagram.com/ganghyunjea_hanok/ )",https://www.instagram.com/ganghyunjea_hanok/,한실,누각,,"지상1층, 대지 면적 611m², 건물 면적 99m²",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,고유한관광농원펜션,"전남 고흥군 두원면 위치한 고유한 관광농원펜션은 유자 농원 안에 위치한 체험형 숙박시설이다. 유자 숲에 알록달록한 둥근 모양의 독특한 펜션 건물이 들어앉은 모습은 마치 동화책 속 한 페이지처럼 예쁘다. 객실은 총 5개로 객실마다 화장실과 주방이 딸려 있다. 돔하우스는 이곳의 시그니처 숙소다. 바비큐는 앞마당에서 할 수 있고, 유자체험전시장에서는 농장견학, 유자차 및 석류차 만들기, 유자피자 만들기 등을 체험할 수 있다. 걸어서 5분 거리에 해수욕장이 있다.",,http://gouhan.kr/main.php,전라남도 고흥군 연강예회길 299-8,,,,,,가능,,,,,경사로 있음,,,,,,28,,,15:00,11:00,가능,없음,5,가능(061-835-1700),http://gouhan.kr/,양실,,,대지면적 436m²,,있음,장애인 주차장 있음,,,,,,,,,,있음,있음,,,,,,,,,,,,,,,,,,,,,,,,,,
29,순천만숲,"순천만숲은 순천만습지에서 1.4km가량 떨어져 있는 독채 한옥펜션으로, 주변의 소나무숲 산책로에서 청량한 공기를 만끽하며 건강한 힐링을 누릴 수 있다. 객실은 총 9개 독채 동으로 프라이버시를 보장하고 편리함을 더한다. 침실과 온실 모두 있어 취향껏 선택할 수 있고, 객실마다 개별 테라스가 있고 개별 바비큐를 즐길 수 있다. 일부 객실에는 어린이용 풀이 딸려 있어 여름에 물놀이도 할 수 있다. 그밖에 윷놀이, 제기차기 등 전통놀이도 제공된다.",,http://순천숲한옥펜션c.com/,전라남도 순천시 순천만길 374-1,,,,,,가능,,,,,,,,,,,88,,,15:00,11:00,가능,있음,9,"가능(010-7570-1775, 홈페이지)",http://순천숲한옥펜션c.com/,"한실, 양실","산책로, 어린이용풀 (하계기간 한정), 바베큐 이용료 20,000원 (숯, 그릴 제공), 오후 10시 이후의 바베큐장 이용 불가",,"대지면적 9,917m²",,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,선유화길[한국관광 품질인증/Korea Quality],"목포에 자리한 선유화길은 오래된 한옥을 현대식으로 개조하여 전통과 현대의 조화를 추구하는 한옥스테이다. 목포여객선터미널과 목포역이 도보 5~10분 거리에 있어 대중교통의 접근성이 용이하다. 근대역사관, 목포진역사공원, 유달산 등 목포 주요 관광지도 모두 도보로 이용할 수 있어 여행에 편리하다.",,https://naver.me/x50lncAJ,전라남도 목포시 만호로 24-4,,,,,,가능,,,,,,,,,,,6,,,15:00,11:00,불가(조리 시 야외에 있는 실외 인덕션 사용),없음,1,가능(네이버 예약),https://naver.me/x50lncAJ,한실,,,62.8m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,스테이황룡,"전남 장성 황룡면에 위치한 스테이황룡은 황룡강이 앞에 흐르는 고즈넉한 한옥 펜션이다. 객실은 6명이 머물기 좋은 황룡과 2명이 묵기 좋은 사랑채 1과 사랑채 2, 마루로 이루어져 있다. 한옥의 멋은 살리되 현대적 시설의 편리함을 더하기 위해 환한 전등, 에어컨, 개별난방을 설치하였고 간단한 요리를 위해 전기밥솥과 인덕션 등을 두었다. 객실별 바비큐장이 있고, 불멍공간도 제공한다. 낮은 돌담 안 너른 잔디마당은 꽃나무와 함께 운치를 더한다.",,https://www.instagram.com/stay_hwangryong/,"전라남도 장성군 행복1길 5-3 5-1, 5-3",,,,,,가능,,,,,,,,,,,12,,,15:00,11:00,가능,,4,,https://map.naver.com/,한실,,,"단층 건물, 대지 면적 992m²",,있음,,,,,,,,,,,,,있음,,,,,,,,,,,,,,,,,,,,,,,,,
32,쉬리펜션,"쉬리펜션은 피아골 계곡과 섬진강을 바라보며 지리산으로 둘러싸여 아름다운 자연과 풍경을 즐길 수 있는 복층 펜션으로 총 6개의 객실로 구성되어 있다. 그중 푸르지오와 해비치 객실은 독채로 독립되어 있고, 해비치 객실에는 노천탕욕조가 있다. 객실 앞에 모두 개별 텐트가 설치되어 캠핑 감성의 독립된 개별 바비큐를 즐길 수 있는 것 또한 큰 매력이다. 넓은 테라스에서 만끽하는 확 트인 전망이 힐링을 선물한다.",,http://www.shiri.co.kr/,전라남도 구례군 섬진강대로 4310-46 쉬리팬션,,,,,,가능,,,,,,,,,,,30,,,15:00,11:00,가능,있음,6,"가능(010-4583-8255, 홈페이지)",http://www.shiri.co.kr/,"한실, 양실","야외수영장(여름한정운영), 캡슐커피머신(로비, 무료), 전기자동차충전소",,"대지 면적 2,479.33m²",,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,호텔케니여수,"전남 여수에 위치한 호텔케니여수는 엑스포역에서 차량 5분, 이순신 광장에서 도보 5분 거리에 있어 접근성이 좋은 숙소다. 합리적인 가격으로 가성비가 좋고 객실에서 시티/오션 전망을 감상할 수 있다. 18층 알프키친에서 조식을 먹을 수 있고, 19층 루프탑에서는 여수 시내 풍경 및 밤바다 야경을 즐길 수 있다. 이곳은 특히 해마다 개최되는 불꽃축제 명당으로 인기가 좋다. 인근에 케이블카, 해양공원 등 주요 관광지가 있다.",,http://www.hotelkennyyeosu.co.kr/,전라남도 여수시 충무로 54-2 (충무동),,,,호텔 케니 2층 로비 에서 휴식 하기 참 좋아요 ^~ 3월에 숙박하는데 깔끔하고 주변관광하기 편하다하니 기대되네요,,가능,,장애인 화장실 있음(로비),,,출입구까지 턱이 없어 휠체어 접근 가능,주 출입구까지 턱이 없어 휠체어 접근 가능,,,,,335,,,15:00,11:00,불가,있음,178,"가능(061-924-5000, https://be4.wingsbooking.com/HKYS",https://be4.wingsbooking.com/HKYS,양실,"루프탑, 편의점, 쉐어라운지[세탁실(코인세탁기, 코인건조기), 도서라운지], 굿즈 진열대",,"건물 지하 2층, 지상 2~19층",,,장애인 주차장 있음,엘리베이터 있음,"점자안내(엘리베이터 내부), 점자블록 있음(장애인 객실 앞, 엘리베이터 앞)",,,,,,,,있음,,,"장애인 객실 있음(2개), 저상침대 있음",,,,,,,,,,,,,,,,,,,,,,,,
